OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker
715354924;Bolig;202443995-2;24.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=587942;Utvidet bruk;20.09.2024;20.09.2027;;Privat;Privat;;Trondheim;5001;FV704 S3D1 m3293;550;11;80;Lite streng;E - Lokale adkomstveger;11;1
722978050;Naust;202422872-5 ;19.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566672;Midlertidig tillatelse;10.12.2024;01.01.2028;;;;;Trondheim;5001;FV6704 S1D1 m1284;293;7;60;Lite streng;E - Lokale adkomstveger;8;1
721931420;Bolig;202430101-2;28.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573991;Midlertidig tillatelse;24.06.2024;01.05.2025;;Privat;Privat;;Trondheim;5001;FV6680 S1D1 m9981;1500;13;80;Streng;C - Lokale hovedveger;2;4
721291561;Forretning;202336362-6;07.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=509141;Midlertidig tillatelse;15.01.2025;30.11.2025;;;;;Trondheim;5001;FV6668 S1D1 m2123;15000;6;50;Streng;B - Regionale hovedveger;9;50
1022569040;Bolig;202521432;11.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619381#;Varig tillatelse;14.05.2025;14.05.2028;;Privat;Privat;;Steinkjer;5006;FV763 S1D1 m2760;2980;12;80;Streng;C - Lokale hovedveger;5;8
616275849;Hytte;202450284-4;06.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594308;Utvidet bruk;02.12.2024;02.12.2027;;Privat;Privat;;Frøya;5014;FV6472 S1D1 m3511;300;9;80;Lite streng;E - Lokale adkomstveger;6;0
616113050;Hytte;202523799;28.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=621778#;Utvidet bruk;11.06.2025;;;Privat;Privat;;Frøya;5014;FV6466 S1D20 m972;350;8;50;Lite streng;E - Lokale adkomstveger;15;0
601768701;Bolig;202437401-2;06.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581347;Utvidet bruk;13.08.2024;13.08.2027;;Privat;Privat;;Røros;5025;FV31 S5D1 m4963;550;15;80;Streng;B - Regionale hovedveger;4;0
1022571587;Industri;202520887;26.04.2025;;Midlertidig tillatelse;13.05.2025;31.12.2026;;Privat;Privat;;Holtålen;5026;FV6542 S1D1 m65;600;15;50;Lite streng;E - Lokale adkomstveger;13;0
711294892;Gardsbruk;202507565-2 ;21.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=605443;Varig tillatelse;27.01.2025;27.01.2028;Denne avkjørselen skal saneres når ny er etablert. ;;;;Midtre Gauldal;5027;FV6560 S2D1 m6647;350;10;80;Mindre streng;D - Lokale samleveger;9;2
711294829;Gardsbruk;202437782-2;07.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581728;Utvidet bruk;13.08.2024;13.08.2027;;Privat;Privat;;Midtre Gauldal;5027;FV6560 S2D1 m778;359;16;80;Mindre streng;D - Lokale samleveger;11;0
601255990;Gardsbruk;202432336-3;19.06.2024;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3120579&VerID=2934867;Utvidet bruk;12.08.2024;12.08.2027;;Privat;Privat;;Midtre Gauldal;5027;FV30 S5D1 m1052;1300;10;80;Streng;B - Regionale hovedveger;3;1
601256000;Skog/skogbruk;202448159-2;10.10.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592157;Midlertidig tillatelse;29.10.2024;29.10.2027;Usikker på om denne avkjørselen er godkjent fra tidligere.;Privat;Privat;;Midtre Gauldal;5027;FV30 S5D1 m2915;1300;10;80;Streng;B - Regionale hovedveger;4;3
716506622;Bolig;202518851;15.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616795#;Utvidet bruk;13.05.2025;13.05.2028;;Privat;Privat;;Melhus;5028;FV6594 S1D1 m4277;703;9;60;Streng;C - Lokale hovedveger;6;3
716024751;Bolig;202450592-2 ;12.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594616;Utvidet bruk;26.11.2024;26.11.2027;;Privat;Privat;;Skaun;5029;FV708 S1D1 m8529;1630;9;50;;C - Lokale hovedveger;8;5
719345046;Bolig;202521572;14.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619521;Utvidet bruk;15.05.2025;;;Privat;Privat;;Skaun;5029;FV6626 S1D1 m596;201;15;80;Lite streng;E - Lokale adkomstveger;14;1
719460568;Bolig;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;Privat;Privat;;Skaun;5029;FV6634 S1D1 m1897;90;7;80;Lite streng;E - Lokale adkomstveger;8;1
719460568;Bolig;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;Privat;Privat;;Skaun;5029;FV6634 S1D1 m1897;90;7;80;Lite streng;E - Lokale adkomstveger;8;1
1022607902;Hytte;;23.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617065#;Avslag;29.04.2025;;;Privat;Privat;;Skaun;5029;FV800 S3D1 m1539;2500;8;70;Streng;C - Lokale hovedveger;8;10
1024479996;Industri;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;Privat;Privat;;Malvik;5031;FV6706 S1D1 m1905;1200;12;60;Streng;B - Regionale hovedveger;14;3
721319043;Gardsbruk;202527324;30.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=625355#;Utvidet bruk;14.07.2025;14.07.2028;;Privat;Privat;;Malvik;5031;FV6670 S1D1 m1878;600;10;50;Mindre streng;D - Lokale samleveger;23;0
1024479995;Industri;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;Privat;Privat;;Malvik;5031;FA6706 S1001D1 m193;;;;;;0;0
715901994;Dyrkamark/jordbruk;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;FV705 S8D1 m5980;799;16;80;Streng;B - Regionale hovedveger;9;2
715901993;Skog/skogbruk;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;FV705 S8D1 m5867;799;16;80;Streng;B - Regionale hovedveger;8;2
1024620199;Bolig;202524823;12.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622819#;Utvidet bruk;09.07.2025;09.07.2028;;Privat;Privat;;Stjørdal;5035;FV6788 S2D1 m18;951;11;40;Lite streng;E - Lokale adkomstveger;8;0
718788016;Bolig;202510259-3;14.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608151;Utvidet bruk;10.04.2025;10.04.2028;;Privat;Privat;;Indre Fosen;5054;FV718 S1D1 m4886;1560;10;60;Mindre streng;D - Lokale samleveger;21;4
615543130;Bolig;202131549-4 ;13.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=407094;Utvidet bruk;24.05.2024;24.05.2027;;Privat;Privat;;Hitra;5056;FV6448 S1D1 m5551;427;22;60;Lite streng;E - Lokale adkomstveger;10;1
607413153;Dyrkamark/jordbruk;202445172-2;10.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589122;Varig tillatelse;18.09.2024;18.09.2027;;Privat;Privat;;Ørland;5057;FV6392 S1D1 m264;1690;9;60;Mindre streng;D - Lokale samleveger;10;3
607413228;Bolig;202424751-2;08.04.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=568555;Utvidet bruk;03.05.2024;03.05.2024;;Privat;Privat;;Ørland;5057;FV6392 S2D1 m840;550;10;60;Mindre streng;D - Lokale samleveger;10;5
608011038;Gardsbruk;202522248;21.05.2025;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3456061&VerID=3254109;Endret bruk;23.07.2025;28.11.2025;Tiltak: Midlertidig utvidelse og bruksendring av avkjørsel;Privat;Privat;;Ørland;5057;FV6406 S1D1 m4777;193;26;60;Mindre streng;D - Lokale samleveger;19;0
1022569230;Forretning;202519020;17.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616964#;Avslag;09.05.2025;;;;;;Ørland;5057;FV6346 S1D1 m45;350;9;60;Lite streng;E - Lokale adkomstveger;3;0
604331057;Gardsbruk;202432190-2;17.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576085;Utvidet bruk;27.11.2024;27.11.2027;;Privat;Privat;;Åfjord;5058;FV6328 S1D1 m2831;718;8;80;Lite streng;E - Lokale adkomstveger;4;2
600313582;Skog/skogbruk;202316503-4;14.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=489167;Midlertidig tillatelse;28.08.2024;01.09.2025;Midlertidig utvidet bruk ;Privat;Privat;;Åfjord;5058;FV6312 S1D1 m1793;300;11;80;Lite streng;E - Lokale adkomstveger;4;0
600313586;Bolig;202440621-2;14.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584567;Utvidet bruk;30.08.2024;30.08.2027;;Privat;Privat;;Åfjord;5058;FV6312 S1D1 m3081;300;11;80;Lite streng;E - Lokale adkomstveger;11;0
619482490;Bolig;202518618-2 ;10.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616546;Varig tillatelse;14.04.2025;14.04.2028;Denne avkjørselen skal saneres når ny er etablert. ;Privat;Privat;;Orkland;5059;FV6496 S1D1 m11578;450;11;80;Lite streng;E - Lokale adkomstveger;9;1
1022569329;Gardsbruk;202515765;18.03.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=613674#;Varig tillatelse;06.05.2025;06.05.2028;;Privat;Privat;;Orkland;5059;FV6434 S2D1 m9390;260;11;80;Lite streng;E - Lokale adkomstveger;9;0
1019267572;Gardsbruk;202430330-2;30.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574220;Varig tillatelse;17.06.2024;17.06.2027;;Privat;Privat;POINT(273307.936 7021131.78);Trondheim;5001;FV704 S3D1 m4975;550;11;60;Lite streng;E - Lokale adkomstveger;8;1
1024549899;Industri;202519130;23.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617074;Utvidet bruk;27.06.2025;27.06.2028;;Privat;Privat;POINT(275037.733 7029309.502);Trondheim;5001;FV6700 S1D1 m2437;800;7;50;Lite streng;E - Lokale adkomstveger;16;0
721931431;Dyrkamark/jordbruk;202432337-2;20.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576232;Utvidet bruk;27.06.2024;27.06.2027;Utvidet bruk og endring/forbedring av avkjørselen.;Privat;Privat;POINT(273846.477 7029724.984);Trondheim;5001;FV6680 S2D1 m2267;1500;13;60;Streng;C - Lokale hovedveger;10;6
721931498;Dyrkamark/jordbruk;202408113-2    ;29.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818;Midlertidig tillatelse;06.02.2024;01.07.2026;;Privat;Privat;POINT(273819.511 7030503.291);Trondheim;5001;FV6680 S2D1 m1406;1500;13;80;Streng;C - Lokale hovedveger;4;6
721935869;Bolig;202400303-2;02.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=543995;Utvidet bruk;16.01.2024;16.01.2027;;Privat;Privat;POINT(266084.295 7030733.901);Trondheim;5001;FV6682 S1D1 m1116;3300;8;60;Streng;B - Regionale hovedveger;14;4
1018726046;Service;202408113-2;29.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818;Midlertidig tillatelse;06.02.2024;01.07.2026;;Privat;Privat;POINT(273887.285 7030738.943);Trondheim;5001;FV6680 S2D1 m1161;1500;13;80;Streng;C - Lokale hovedveger;4;8
721509289;Bolig;202413031-2;13.03.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=556831;Endret bruk;26.03.2024;26.03.2027;;Privat;Privat;POINT(273279.046 7032005.302);Trondheim;5001;FV6674 S1D1 m2591;1100;7;40;Mindre streng;D - Lokale samleveger;13;2
721509283;Gardsbruk;202337959-4;05.04.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=510747;Midlertidig tillatelse;22.04.2024;01.06.2025;;Privat;Privat;POINT(272837.919 7032013.302);Trondheim;5001;FV6674 S1D1 m2131;1100;7;40;Mindre streng;D - Lokale samleveger;18;1
721724178;Bolig;202450216-2;06.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594240;Utvidet bruk;18.11.2024;18.11.2027;;Privat;Privat;POINT(275589.876 7033292.657);Trondheim;5001;FV6678 S1D1 m5032;882;13;80;Mindre streng;D - Lokale samleveger;5;1
715957904;Bolig;202445856-2;19.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589807;Endret bruk;07.10.2024;07.10.2027;;Privat;Privat;POINT(259399.613 7033502.979);Trondheim;5001;FV707 S2D1 m3483;2200;15;60;Streng;B - Regionale hovedveger;9;3
1019597851;Industri;202435492-2;18.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407;Midlertidig tillatelse;19.07.2024;30.09.2024;;;;POINT(268275.731 7034534.352);Trondheim;5001;FV6682 S1D1 m5851;2500;5;60;Streng;B - Regionale hovedveger;6;22
1019597852;Industri;202435492-2;18.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407;Midlertidig tillatelse;19.07.2024;30.09.2024;;;;POINT(268265.377 7034535.422);Trondheim;5001;FV6682 S1D1 m5851;2500;5;60;Streng;B - Regionale hovedveger;6;22
721130267;Bolig;202453260-2 ;13.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597325;Utvidet bruk;02.01.2025;02.01.2028;;Privat;Privat;POINT(254066.954 7037144.117);Trondheim;5001;FV6652 S1D1 m8046;1300;8;60;Lite streng;E - Lokale adkomstveger;8;0
1019279230;Industri;202431832-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575727;Midlertidig tillatelse;18.06.2024;12.07.2024;Midlertidig anleggs avkjørsel. ;Privat;Privat;POINT(271370.412 7041435.664);Trondheim;5001;FV6666 S1D1 m1798;7400;4;40;Streng;C - Lokale hovedveger;28;35
1021165690;Service;202448801-5;18.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592799;Varig tillatelse;08.01.2025;08.01.2028;;;;POINT(272007.059 7043006.984);Trondheim;5001;FV6668 S1D1 m845 KD1 m46;;;50;;B - Regionale hovedveger;20;18
1019335076;Hytte;202431739-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575634;Avslag;28.06.2024;28.06.2027;;;;POINT(290183.277 7087946.579);Steinkjer;5006;FV720 S7D1 m8123;120;19;80;Streng;B - Regionale hovedveger;3;1
1019227619;Skog/skogbruk;202430782-2;05.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574673;Midlertidig tillatelse;06.06.2024;15.07.2024;;Privat;Privat;POINT(295013.523 7089932.037);Steinkjer;5006;FV720 S8D1 m3601;120;19;60;Streng;B - Regionale hovedveger;13;1
1015245593;Bolig;202440622-3;20.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584568;Utvidet bruk;22.08.2024;22.08.2027;;Privat;Privat;POINT(333545.108 7095025.556);Steinkjer;5006;FV759 S3D1 m2783;600;15;60;Streng;C - Lokale hovedveger;7;0
1015245594;Bolig;202440622-3;20.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584568;Varig tillatelse;22.08.2024;22.08.2027;Skal saneres. ;Privat;Privat;POINT(333571.426 7095095.241);Steinkjer;5006;FV759 S3D1 m2856;600;15;60;Streng;C - Lokale hovedveger;8;0
1015534110;Gardsbruk;202428974-2;09.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=572854;Varig tillatelse;24.05.2024;24.05.2027;Denne avkjørselen skal stenges, da vi har gitt tillatelse til å flytte avkjørselen litt nord-øst. ;Privat;Privat;POINT(339650.298 7103427.93);Steinkjer;5006;FV762 S3D1 m4155;523;11;40;Mindre streng;D - Lokale samleveger;7;0
1015534112;Gardsbruk;202428974-2;09.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=572854;Varig tillatelse;24.05.2024;24.05.2027;Flytting av avkjørsel, eksisterende skal stenges. ;Privat;Privat;POINT(339692.01 7103479.286);Steinkjer;5006;FV762 S3D1 m4221;523;11;40;Mindre streng;D - Lokale samleveger;7;0
1019308059;Bolig;202429833-2;22.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573713;Varig tillatelse;21.06.2024;21.06.2027;;Privat;Privat;POINT(331338.012 7104918.462);Steinkjer;5006;FV6970 S1D1 m1115;400;8;30;Lite streng;E - Lokale adkomstveger;33;1
1022497014;Skog/skogbruk;202513686-2;14.03.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=611595;Varig tillatelse;18.03.2025;18.03.2028;;Privat;Privat;POINT(304972.252 7105162.183);Steinkjer;5006;FV6330 S6D1 m3035;260;10;80;Lite streng;E - Lokale adkomstveger;0;1
1015534426;Bolig;202510793-2;20.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608687;Utvidet bruk;10.03.2025;10.03.2028;;Privat;Privat;POINT(334397.636 7107161.933);Steinkjer;5006;FV763 S1D1 m7609;1300;15;80;Streng;C - Lokale hovedveger;4;5
1014874163;Gardsbruk;202435437-2;17.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579352;Utvidet bruk;18.07.2024;18.07.2027;;Privat;Privat;POINT(319788.269 7107956.412);Steinkjer;5006;FV6982 S2D1 m1859;450;15;80;Mindre streng;D - Lokale samleveger;6;0
